analysis,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,frequency_hz,replicate,scan_value
delay_scan,,-0.052483966587577355,27.3,22,0.125
delay_scan,,-0.05139782430076602,27.3,23,0.125
delay_scan,,-0.03658792348176347,33.8,0,0.125
delay_scan,,-0.03683606720125111,33.8,1,0.125
delay_scan,,-0.04350158511205164,33.8,2,0.125
delay_scan,,-0.04596036511873283,33.8,3,0.125
delay_scan,,-0.04740278819535361,33.8,4,0.125
delay_scan,,-0.02193614692037997,33.8,5,0.125
delay_scan,,-0.012459505015278385,33.8,6,0.125
delay_scan,,-0.04273326682524638,33.8,7,0.125
delay_scan,,-0.07484781447652937,33.8,8,0.125
delay_scan,,-0.016399190323055174,33.8,9,0.125
delay_scan,,-0.04859599323023735,33.8,10,0.125
delay_scan,,-0.040006027528618676,33.8,11,0.125
delay_scan,,-0.027973107431113475,33.8,12,0.125
delay_scan,,-0.033850339275496424,33.8,13,0.125
delay_scan,,-0.03356180084686279,33.8,14,0.125
delay_scan,,-0.06303832220803106,33.8,15,0.125
delay_scan,,-0.08038227724313342,33.8,16,0.125
delay_scan,,-0.030499451915404194,33.8,17,0.125
delay_scan,,-0.05019108588369017,33.8,18,0.125
delay_scan,,-0.03706761200815041,33.8,19,0.125
delay_scan,,-0.07016186890767057,33.8,20,0.125
delay_scan,,-0.042566032208650545,33.8,21,0.125
delay_scan,,-0.06305461657258177,33.8,22,0.125
delay_scan,,-0.06890187028581396,33.8,23,0.125
delay_scan,,0.015747220921422334,7.83,0,0.25
delay_scan,,0.030530104298909594,7.83,1,0.25
delay_scan,,0.03220299148006059,7.83,2,0.25
delay_scan,,0.015707688400536268,7.83,3,0.25
delay_scan,,-0.01619468417780423,7.83,4,0.25
delay_scan,,0.00264870127805944,7.83,5,0.25
delay_scan,,-0.024789848019552058,7.83,6,0.25
delay_scan,,0.04479556440760438,7.83,7,0.25
delay_scan,,-0.014199856427993318,7.83,8,0.25
delay_scan,,0.0073952512521855696,7.83,9,0.25
delay_scan,,-0.06656983787178072,7.83,10,0.25
delay_scan,,0.057095267554210766,7.83,11,0.25
delay_scan,,-0.004064950053477623,7.83,12,0.25
delay_scan,,0.041465799375431156,7.83,13,0.25
delay_scan,,9.588919505937321e-05,7.83,14,0.25
delay_scan,,0.032062615917742204,7.83,15,0.25
delay_scan,,0.07643409151132044,7.83,16,0.25
delay_scan,,0.005017807865129287,7.83,17,0.25
delay_scan,,0.011622119897920252,7.83,18,0.25
delay_scan,,0.016819821827785852,7.83,19,0.25
delay_scan,,-0.008736031183888604,7.83,20,0.25
delay_scan,,0.021558410050542348,7.83,21,0.25
delay_scan,,0.04781351974593012,7.83,22,0.25
delay_scan,,0.0496597820421837,7.83,23,0.25
delay_scan,,0.0444299916456955,10.0,0,0.25
delay_scan,,0.008709169527953586,10.0,1,0.25
delay_scan,,0.05482595598731435,10.0,2,0.25
delay_scan,,0.03489265068734701,10.0,3,0.25
delay_scan,,0.05322143732081619,10.0,4,0.25
delay_scan,,0.04579048861475282,10.0,5,0.25
delay_scan,,0.021042338458928944,10.0,6,0.25
delay_scan,,0.010468365449897266,10.0,7,0.25
delay_scan,,0.008007203724537948,10.0,8,0.25
delay_scan,,0.032453268318278244,10.0,9,0.25
delay_scan,,0.0028137157279662095,10.0,10,0.25
delay_scan,,0.00897630819450454,10.0,11,0.25
delay_scan,,0.0029129581867163024,10.0,12,0.25
delay_scan,,0.015101665134009817,10.0,13,0.25
delay_scan,,-0.016061474813012427,10.0,14,0.25
delay_scan,,0.009267407117405924,10.0,15,0.25
delay_scan,,0.004699248103533588,10.0,16,0.25
delay_scan,,-0.0033424899468854075,10.0,17,0.25
delay_scan,,0.002728344296273777,10.0,18,0.25
delay_scan,,-0.03538465264496923,10.0,19,0.25
delay_scan,,0.04758579626323048,10.0,20,0.25
delay_scan,,0.014679483493864831,10.0,21,0.25
delay_scan,,-0.03111038367399227,10.0,22,0.25
delay_scan,,0.022473511488211223,10.0,23,0.25
delay_scan,,-0.011281945230329632,14.3,0,0.25
delay_scan,,0.002264523127686907,14.3,1,0.25
delay_scan,,-0.006892576161230263,14.3,2,0.25
delay_scan,,-0.0167249663957329,14.3,3,0.25
delay_scan,,-0.025905507235921416,14.3,4,0.25
delay_scan,,-0.009986259737454123,14.3,5,0.25
delay_scan,,0.0012262121747531884,14.3,6,0.25
delay_scan,,0.0017041720912484015,14.3,7,0.25
delay_scan,,-0.02530897749213369,14.3,8,0.25
delay_scan,,-0.04048282322099468,14.3,9,0.25
delay_scan,,-0.029915991465723657,14.3,10,0.25
delay_scan,,-0.0027579473723396697,14.3,11,0.25
delay_scan,,-0.02164055190943663,14.3,12,0.25
