K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.170627116804072,0.1583562405067842,0.018146195016571026,-0.018024875620622063,7.83,30,,21,,,,
,external_driver_phase_disruption,,0.17145050116159166,0.16954556536912574,0.11175066354387306,0.008220588440734658,7.83,30,,22,,,,
,external_driver_phase_disruption,,0.1990352652642111,0.17898553627017103,0.006408568178034854,-0.009259011428650751,7.83,30,,23,,,,
,external_driver_phase_disruption,,0.14089909950509433,0.1370889901975752,0.02014770186638909,0.01563864315751773,10.0,30,,0,,,,
,external_driver_phase_disruption,,0.15791456595531217,0.14844439635720774,0.035994642225320006,-0.0036820373550615765,10.0,30,,1,,,,
,external_driver_phase_disruption,,0.17994553005784053,0.17326844781879808,0.05154520003815968,-0.01605047327335686,10.0,30,,2,,,,
,external_driver_phase_disruption,,0.20981551331141085,0.1897335671917476,0.022403677475777303,-0.01815398096973614,10.0,30,,3,,,,
,external_driver_phase_disruption,,0.132454233410705,0.12144809439703952,0.058535020345699976,2.1842624371784525e-05,10.0,30,,4,,,,
,external_driver_phase_disruption,,0.09936358091772934,0.09629094791064485,0.05249909433554033,0.010678297950680829,10.0,30,,5,,,,
,external_driver_phase_disruption,,0.1700674806010129,0.1657921521576659,0.09655022382013467,-0.03143124481983137,10.0,30,,6,,,,
,external_driver_phase_disruption,,0.21152272907581476,0.1887103733080752,-0.0024567502289983556,0.017166053524342265,10.0,30,,7,,,,
,external_driver_phase_disruption,,0.24438733792951442,0.2194324109614416,0.013811476398981282,0.016087251527131627,10.0,30,,8,,,,
,external_driver_phase_disruption,,0.17857669941754423,0.17670978671397203,0.10852325491833723,-0.026447073450727693,10.0,30,,9,,,,
,external_driver_phase_disruption,,0.10489801844949043,0.10430410127996076,0.08203870498994434,0.038032196064469795,10.0,30,,10,,,,
,external_driver_phase_disruption,,0.15181326088988636,0.13856272211024145,0.0584182920186979,-0.009952078612676121,10.0,30,,11,,,,
,external_driver_phase_disruption,,0.2319627653888555,0.20645959089697907,0.016172463450175353,0.03809597020461877,10.0,30,,12,,,,
