K_cycles_per_s,analysis,ci95_halfwidth,ci95_high,ci95_low,condition,mean,metric,n,phase_offset_deg,sd,sem
1.1,k_dependent_phase_disruption,0.018211644226880246,-0.20359006533942317,-0.24001335379318364,,-0.2218017095663034,delta_intervention_mean_R1,24,,0.043128679688972923,0.008803604876493364
1.1,k_dependent_phase_disruption,0.009576164803345964,-0.020219390424635702,-0.039371720031327634,,-0.029795555227981666,delta_intervention_mean_R2,24,,0.02267820188595211,0.004629168575367152
1.1,k_dependent_phase_disruption,0.002170641811080418,0.0015484245251834033,-0.002792859096977433,,-0.0006222172858970147,delta_intervention_mean_R4,24,,0.0051404977070330414,0.0010492997005148235
1.25,k_dependent_phase_disruption,0.01796646756303961,-0.2734233406078596,-0.3093562757339388,,-0.2913898081708992,delta_intervention_mean_R1,24,,0.042548054146860345,0.008685085184009808
1.25,k_dependent_phase_disruption,0.014092855646145657,-0.06342450185704464,-0.09161021314933594,,-0.07751735750319029,delta_intervention_mean_R2,24,,0.03337459536840898,0.006812560752038063
1.25,k_dependent_phase_disruption,0.0038377504473694887,0.002272625378187655,-0.005402875516551322,,-0.0015651250691818335,delta_intervention_mean_R4,24,,0.009088531914461037,0.0018551888084524894
1.4,k_dependent_phase_disruption,0.021053217276175384,-0.2981985490606696,-0.34030498361302036,,-0.319251766336845,delta_intervention_mean_R1,24,,0.04985807173776884,0.010177236276384389
1.4,k_dependent_phase_disruption,0.011069370425226934,-0.13207951604857285,-0.1542182568990267,,-0.14314888647379978,delta_intervention_mean_R2,24,,0.026214400274937995,0.005350992048889429
1.4,k_dependent_phase_disruption,0.005314109523734386,-0.00201152461363404,-0.012639743661102812,,-0.007325634137368426,delta_intervention_mean_R4,24,,0.012584834440317987,0.0025688685730152826
1.55,k_dependent_phase_disruption,0.020194765190772082,-0.1997818606805038,-0.240171391062048,,-0.2199766258712759,delta_intervention_mean_R1,24,,0.04782509192779414,0.009762256010399527
1.55,k_dependent_phase_disruption,0.008679066873560142,-0.15049796842376661,-0.16785610217088692,,-0.15917703529732677,delta_intervention_mean_R2,24,,0.020553701276267107,0.004195506704370484
1.55,k_dependent_phase_disruption,0.006252961363383934,-0.006815842606975162,-0.01932176533374303,,-0.013068803970359096,delta_intervention_mean_R4,24,,0.014808216347146767,0.003022714504270849
,driver_maintenance,0.0057263050647190965,0.16885089548330443,0.1573982853538662,far_detuned_driver,0.16312459041858532,test_mean_R1,24,,0.013560992838476959,0.002768126071650454
,driver_maintenance,0.00047733716986314524,0.0010488070772705525,9.413273754426213e-05,far_detuned_driver,0.0005714699074074074,test_lock_fraction,24,,0.0011304263166025566,0.00023074730562417766
