k_base_cycles_per_s,transient_boost_cycles_per_s,driver_increment_mean_R1_post_mean,transient_increment_mean_R1_post_mean,both_increment_mean_R1_post_mean,both_minus_best_single_mean_R1_post_mean,both_minus_best_single_mean_R2_post_mean,both_minus_best_single_mean_R4_post_mean,both_minus_best_single_lock_fraction_post_mean,both_minus_best_single_time_to_sustained_lock_post_s_mean,synergy_mean_R1_post_mean,synergy_mean_R2_post_mean,synergy_mean_R4_post_mean,synergy_lock_fraction_post_mean,synergy_time_to_sustained_lock_post_s_mean,driver_only_driver_locking_plv_post_mean,transient_plus_driver_driver_locking_plv_post_mean,both_minus_driver_only_driver_locking_plv_post_mean,strict_subthreshold_ignition_candidate_mean
1.25,0.45,0.16214085210793203,0.024332456784080164,0.17791205395589135,0.01118714895881622,0.013453450941366915,-0.006627981102442508,0.01642746913580247,-1.3226145833333334,-0.008561254936120853,0.0017890335223566735,0.0022698334449175474,-0.023688271604938273,0.8544340277777778,0.6019499511190725,0.6158033440045068,0.013853392885434287,0.027777777777777776
1.25,0.6,0.16214085210793203,0.03053540656539089,0.18124309761561475,0.014070498118213356,0.01743427714779796,-0.00568943265077441,0.016338734567901234,-1.332951388888889,-0.01143316105770815,3.4685912684736682e-06,0.002370847872754695,-0.039483024691358025,0.9757534722222223,0.6019499511190725,0.6187576097918287,0.01680765867275626,0.020833333333333332
1.4,0.0,0.11445522068883622,0.0,0.11445522068883622,-0.00233032941840927,-0.002302841420469971,-0.008197257414017589,-0.0082445987654321,-0.595013888888889,0.0,0.0,0.0,0.0,0.0,0.6966843688396326,0.6966843688396326,0.0,0.0
1.4,0.1,0.11445522068883622,0.006549452206932187,0.11757894366295911,0.0006041071500240882,0.0011671498658500608,-0.007200749474511894,-0.0032407407407407424,-0.5121319444444444,-0.003425729232809318,-0.0011007262746395863,0.0012877385519343423,-0.005455246913580246,0.10827777777777779,0.6966843688396326,0.6996514915980105,0.002967122758377728,0.0
1.4,0.2,0.11445522068883622,0.009753319007475288,0.11998507734882861,0.0027449246977793358,0.004417113709978189,-0.0063064426249949445,-0.0039660493827160526,-0.5663611111111111,-0.004223462347482902,-0.001417652493368736,0.0015923204614114543,-0.010559413580246915,0.21467708333333335,0.6966843688396326,0.7019111632499039,0.005226794410271296,0.0
1.4,0.3,0.11445522068883622,0.013842317805423637,0.12249431591990889,0.0050204226511252085,0.007488995538055251,-0.00484737294070656,-0.002993827160493827,-0.5299791666666667,-0.005803222574350973,-0.0025625955758447486,0.0025238740706570923,-0.020860339506172842,0.28310069444444447,0.6966843688396326,0.7044827782831512,0.007798409443518416,0.0
1.4,0.45,0.11445522068883622,0.02011883885358923,0.12585041441935016,0.008004611393305114,0.011656541529217341,-0.0025331535697004207,-0.002488425925925925,-0.6227569444444444,-0.008723645123075304,-0.003720656877525127,0.0033619062027793506,-0.03167824074074074,0.42578125,0.6966843688396326,0.7082333914751446,0.01154902263551203,0.0
1.4,0.6,0.11445522068883622,0.024583019363018228,0.12848621100692328,0.010401583282992401,0.015481017949348898,-0.0003354791936988218,-0.0008641975308641999,-0.6631666666666667,-0.010552029044931181,-0.004586590997544653,0.0034343475695264246,-0.03464120370370371,0.4455347222222223,0.6966843688396326,0.7106707796786337,0.013986410839001194,0.006944444444444444
1.55,0.0,0.0688563052115705,0.0,0.0688563052115705,-0.0017654626000759273,-0.0017279271669588612,-0.003965932728258359,-0.002584876543209876,-0.12665972222222222,0.0,0.0,0.0,0.0,0.0,0.7664531077460542,0.7664531077460542,0.0,0.0
1.55,0.1,0.0688563052115705,0.004477483411286107,0.07103838219857474,0.00022598656464744736,0.0012215266059688054,-0.0026919682554824645,-0.0011535493827160485,-0.12381944444444444,-0.0022954064242818703,-0.0010347137188572006,0.00017925327512923657,-0.008209876543209873,-0.01736805555555555,0.7664531077460542,0.7684239489893109,0.0019708412432565205,0.0
1.55,0.2,0.0688563052115705,0.007931419344350042,0.07298892239162587,0.002063137236710848,0.004204419185139806,-0.0015133860327095443,-0.0018364197530864196,-0.1327013888888889,-0.0037988021642946786,-0.001849860606716036,0.00015990931554835832,-0.01181712962962963,0.05052083333333334,0.7664531077460542,0.7696392075296427,0.0031860997835883114,0.0
1.55,0.3,0.0688563052115705,0.01054444011835993,0.07461497482751256,0.003529726883598486,0.007131183125624936,-0.00024054207389277788,-0.001446759259259259,-0.09027083333333334,-0.004785770502417881,-0.00188020820541462,-1.4973659113793938e-05,-0.014340277777777778,0.059520833333333335,0.7664531077460542,0.7708361994236537,0.004383091677599379,0.0
1.55,0.45,0.0688563052115705,0.014170806674841954,0.07630011648640343,0.004997901452131584,0.010307927549309351,0.002384363880986811,-0.002453703703703704,-0.12728472222222223,-0.006726995400009012,-0.003535510891682893,0.0006193230895147252,-0.01856867283950617,0.09318750000000002,0.7664531077460542,0.7723238858190064,0.00587077807295204,0.0
1.55,0.6,0.0688563052115705,0.01675377348794901,0.07838471941670087,0.006903080812261416,0.013453161728317916,0.00472847084920457,-0.0010262345679012358,-0.12665972222222222,-0.007225359282818635,-0.004015388209199088,0.0008205310864564191,-0.017187500000000005,0.09941666666666667,0.7664531077460542,0.7743911685598442,0.007938060813789916,0.0
