time_s,condition,network,replicate,k_base_cycles_per_s,transient_boost_cycles_per_s,phase_offset_deg,R1,R2,R4,PCI,transient_profile,driver_phase_rad,population_phase_rad
1.5250000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.22990581685345252,0.14437629133826713,0.0899838554752033,1.535681106175431e-22,6.679609620988019e-22,95.81857593448869,-1.244357567404597
1.55,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.23317118613150278,0.12662002249559598,0.1324181641497249,5.310253929541779e-22,2.2774057196530822e-21,97.38937226128358,0.35273432514434133
1.575,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2373686014750592,0.1103998830871841,0.1676242696070312,1.8145425317366982e-21,7.644408403052229e-21,98.96016858807847,1.9394323843565764
1.6,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2428235566813748,0.10042713810996035,0.18207623403255818,6.1341207404405474e-21,2.5261637809257284e-20,100.53096491487338,-2.7509353359851465
1.625,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24616752130202657,0.09608398130290381,0.16759389850875575,2.0231311103991034e-20,8.21851355409674e-20,102.10176124166827,-1.1679308990968493
1.6500000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2485654907106785,0.10408371524438587,0.1327006349764267,6.543046847613145e-20,2.6323231068423016e-19,103.67255756846318,0.41751697791732306
1.675,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24766273499816405,0.11631003449463517,0.13113338035796085,2.0557009177463114e-19,8.300404652163559e-19,105.24335389525807,1.9872825681837638
1.7,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24913746083766808,0.12921445267075604,0.12926287037978892,6.419667233702819e-19,2.576757109154981e-18,106.81415022205296,-2.7342565482507815
1.725,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24877940421040237,0.13414178923901438,0.13712493323234531,1.9591887252059358e-18,7.875204667461033e-18,108.38494654884786,-1.1957018404486617
1.75,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2499315696554683,0.12635705105039885,0.14450693397532352,5.9222328827689124e-18,2.369541747340176e-17,109.95574287564276,0.3613134510327457
1.7750000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24823530020743187,0.118275953940682,0.1297530970775187,1.742386786082714e-17,7.019093515816366e-17,111.52653920243766,1.8856556116411214
1.8,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24438013510857526,0.10732859873011903,0.10417512976524007,5.002392238265e-17,2.0469717131642043e-16,113.09733552923255,-2.8705452069062756
1.825,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2464155713307778,0.09557158259703064,0.07535590692527776,1.4481880204646855e-16,5.877015046750839e-16,114.66813185602744,-1.3590114629129388
1.85,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2477465264178849,0.08675942147083054,0.08238023831254879,4.1155083466160584e-16,1.6611770126997667e-15,116.23892818282235,0.16723647648422457
1.875,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24906149366513408,0.0794042116774314,0.07754389586265083,1.1513192334516363e-15,4.6226304054837065e-15,117.80972450961724,1.6649591694922086
1.9000000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.25928509245317727,0.07951943517817034,0.058154908583940824,3.283629335239249e-15,1.2664165549094265e-14,119.38052083641215,-3.096762292097004
1.925,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2723060826288486,0.08813537961774366,0.033676957233524964,9.301124932494646e-15,3.415687539074189e-14,120.95131716320704,-1.571281923596066
1.95,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.284448925161051,0.10018835805252432,0.11593053504514214,2.579871871438409e-14,9.069719177099092e-14,122.52211349000193,-0.05901632380267963
1.975,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.29418325340373913,0.10718216767140748,0.13303684273111427,6.974958703137089e-14,2.370957089649358e-13,124.09290981679683,1.4641319086211528
2.0,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.30977728991660347,0.10739320460789968,0.09552831965248648,1.8902414072313006e-13,6.101936677605324e-13,125.66370614359172,3.0130430550876426
2.025,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.32210997787053136,0.09363079575449697,0.04751395429862441,4.980007830142119e-13,1.546058232366766e-12,127.23450247038662,-1.7210624605393834
2.05,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.33479997389157984,0.07764074502938932,0.09195131971696485,1.2911704048034165e-12,3.856542728469697e-12,128.8052987971815,-0.1580453227149131
2.075,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3473691748391439,0.05581914513871489,0.15455861941211127,3.289848304908122e-12,9.470754871763019e-12,130.37609512397643,1.413695828657134
2.1,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.35359508664970274,0.04292165781103668,0.1804216408454009,8.096389911508887e-12,2.289734845645569e-11,131.94689145077132,2.9737355419539275
2.125,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.36306256878396115,0.03750964881800607,0.16188821206550316,1.978706659808303e-11,5.450043132884139e-11,133.5176877775662,-1.7362334689107244
2.15,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3756908215470287,0.029088234370631325,0.1120598561472045,4.7979908912212935e-11,1.2771115545128334e-10,135.0884841043611,-0.15864378702192206
2.1750000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3844297565494301,0.029692058379046194,0.07609141085928188,1.1326321218287172e-10,2.946265481618832e-10,136.65928043115602,1.4250650312713065
2.2,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.38454931859071223,0.03804445825333334,0.057302868689338766,2.573244871697745e-10,6.691586091292829e-10,138.2300767579509,3.0114850749554796
2.225,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3845214823792409,0.0530847553645861,0.09557838733640714,5.753352965485957e-10,1.4962370710439565e-09,139.8008730847458,-1.6881682359086974
2.25,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.37964525278770733,0.0642300740709951,0.12964029007331612,1.2504429260175907e-09,3.293714110306081e-09,141.3716694115407,-0.1068549069479509
2.275,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3781732832579065,0.07340058128600724,0.16364365225475372,2.6994568061371614e-09,7.13814784291937e-09,142.94246573833559,1.4780011585562194
2.3000000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.37143639445082627,0.08001134461817412,0.17210793656088316,5.6569687639352344e-09,1.522997974471279e-08,144.5132620651305,3.072561473206346
2.325,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3579253879401328,0.08492348551471628,0.17546184299946588,1.1450376471523928e-08,3.199095917006909e-08,146.0840583919254,-1.6192650177425827
2.35,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.34326237862325204,0.08804315104889485,0.1444075755012537,2.2708871541800026e-08,6.615601637697725e-08,147.6548547187203,-0.038049731216978994
2.375,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.3238465587491669,0.08183921241875083,0.1433093072928436,4.361791138042622e-08,1.3468696888087105e-07,149.22565104551518,1.5608917787334675
2.4,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.30474387819962323,0.08071213104346221,0.12883808239122413,8.226800226191795e-08,2.699578503363014e-07,150.79644737231007,-3.1179194911499577
2.4250000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2840176210661677,0.07520680879344002,0.14062044599616566,1.512954186167077e-07,5.32697295501466e-07,152.367243699105,-1.5202240088324883
2.45,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2641075097372987,0.07330876980545663,0.16165571887217503,2.733127686372553e-07,1.0348542111093808e-06,153.93804002589988,0.09508698415088654
2.475,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.24402542924055684,0.07605915031704442,0.18925085232273098,4.8297770638095e-07,1.9792105596701453e-06,155.50883635269477,1.7087234741603698
2.5,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.2245266770141419,0.08992987452679449,0.23626049330153254,8.367330531110351e-07,3.726653172078671e-06,157.07963267948966,-2.9353200949046996
2.525,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20348809978123952,0.11302063451459225,0.23876433006022563,1.4057209522072085e-06,6.908123638278764e-06,158.65042900628455,-1.2839192760117843
2.5500000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.19651069308788205,0.1346336765602468,0.23973017037124297,2.477430976173653e-06,1.2607105177048635e-05,160.22122533307947,0.37123915490487785
2.575,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18608299025461236,0.15732331473458322,0.1858256872938975,4.214940762366011e-06,2.265086538322939e-05,161.79202165987437,2.0141972660352625
2.6,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.17848842704169618,0.18742213588143944,0.10927016414181841,7.151191910625632e-06,4.006529739295121e-05,163.36281798666926,-2.632730020188663
2.625,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1735617377792983,0.20470768987495946,0.05329217669875977,1.2109329062264157e-05,6.97695771959971e-05,164.93361431346415,-0.9673972645662465
2.65,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1745347761069857,0.20082182995668432,0.08687703707282315,2.0876607855325032e-05,0.00011961288358102437,166.50441064025904,0.6517078810798002
2.6750000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18126594894856898,0.1834399984559352,0.12933229389358783,3.659486986809947e-05,0.00020188496560091722,168.07520696705396,2.2735588878261854
2.7,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18010614125851096,0.1572894208159357,0.16275597800726943,6.041887944796132e-05,0.00033546262790251305,169.64600329384885,-2.4372410065288004
2.725,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18065893326997987,0.11940423618374449,0.1561133721817479,9.914205157148465e-05,0.0005487802334320497,171.21679962064374,-0.8380713879700247
2.75,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18263630363044467,0.08061246709800098,0.14773401211006412,0.00016141876974996438,0.00088382630693505,172.78759594743863,0.7450898811414369
2.775,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18373810347413522,0.03544072901476269,0.14843484772618767,0.0002574831219116177,0.0014013594188853895,174.35839227423352,2.308953401071627
2.8000000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18501843819002844,0.013081165692906533,0.16134324128574312,0.0004047261902407581,0.0021874911181828946,175.92918860102844,-2.3930706975232305
2.825,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18295242137664347,0.0456512692493028,0.1673398098538346,0.0006150286828763525,0.0033616864879322654,177.49998492782333,-0.8313275482639524
2.85,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1836459002663275,0.08257659038645068,0.1814402184384966,0.000934035762746197,0.005086069231012709,179.07078125461823,0.7148129181587412
2.875,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18477627618808976,0.12010890881644073,0.16763623972975106,0.0013998054677524558,0.0075756774442599355,180.64157758141312,2.2935330254966244
2.9,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1811085980121036,0.1585655079142664,0.13473576636303874,0.0020119347883623727,0.011108996538242287,182.212373908208,-2.45949355626178
2.9250000000000003,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1747346932051119,0.16507489771692074,0.10092168926671279,0.002802344209941165,0.016037709275350604,183.78317023500293,-0.9025895368792999
2.95,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.16837089756486198,0.1722265959712575,0.0555845346726807,0.0038378766946296377,0.022794180883612396,185.35396656179782,0.6357556921275358
