analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,19,0.7987076032434974,0.9047461804317477,0.10603857718825027,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,20,0.852352667595417,0.9123347145777791,0.0599820469823622,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,21,0.8652303324247047,0.9161923921332574,0.05096205970855272,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,22,0.8516989892159056,0.9101754657231884,0.058476476507282826,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,23,0.8708989899773806,0.9243196169771991,0.05342062699981853,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,0,0.9149767570982448,0.9409672224879276,0.02599046538968286,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,1,0.8302075527171704,0.9051124680220282,0.07490491530485777,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,2,0.8248807300036392,0.8988041998431793,0.07392346983954012,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,3,0.7215654165742926,0.8511903408493743,0.12962492427508165,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,4,0.8121186366815327,0.9262059296291779,0.11408729294764519,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,5,0.8497325119655222,0.9108603751665956,0.06112786320107333,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,6,0.858058527949491,0.9279223455509472,0.06986381760145621,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,7,0.8844223295098713,0.9298148198476679,0.045392490337796576,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,8,0.8843866425766312,0.9259966551318192,0.041610012555187925,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,9,0.8537892793610001,0.9166293065894504,0.06284002722845028,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,10,0.8272098145458943,0.9073748023007463,0.08016498775485204,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,11,0.8653741021071559,0.9124824701844712,0.04710836807731522,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,12,0.8460706754515158,0.9128626637580033,0.06679198830648747,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,13,0.819935849904776,0.9087196240420535,0.08878377413727756,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,14,0.7719402183309406,0.8808830652848969,0.10894284695395628,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,15,0.6084985757897885,0.8303362448784927,0.22183766908870417,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,16,0.8397372845289915,0.9086034905741777,0.06886620604518612,,,,,,,,,,,,
