analysis,condition,network,network_frequency_hz,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,delta_lock_fraction_R_ge_0_55_mean,delta_strong_lock_fraction_R_ge_0_70_mean,coupling_multiplier,forcing_multiplier,coupling_strength_K_cycles_per_s,jitter_level,forcing_strength_cycles_per_s,natural_frequency_sd_hz
coupling_forcing_factorial,,network_20_80Hz,20.8,0.16077769993401037,0.07708616595809006,0.015735147735401953,0.12822706682010304,0.1933283330479177,0.03255063311390731,student_t,24,,,1.07,1.18,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.16260314054423256,0.06038704497176827,0.012326453937944407,0.137103927796024,0.1881023532924411,0.02549921274820855,student_t,24,,,1.07,1.18,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.14748055976553395,0.07669129554751343,0.015654545150365615,0.11509666580258152,0.1798644537284864,0.03238389396295244,student_t,24,,,1.07,1.18,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.13876030898806987,0.08714114220293812,0.017787611166708937,0.10196383177688259,0.17555678619925716,0.03679647721118729,student_t,24,,,1.07,1.18,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.1461173224472506,0.08034462374509108,0.016400277645947866,0.11219076328197514,0.18004388161252605,0.033926559165275455,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.14277957484052303,0.07889091711888752,0.01610354102345607,0.10946686214765528,0.1760922875333908,0.03331271269286775,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.14550895957006663,0.08271512588025831,0.016884154368059345,0.11058142514109064,0.1804364939990426,0.03492753442897599,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.14008321979982843,0.06452620637316149,0.013171356720980801,0.11283619247942742,0.16733024712022945,0.027247027320401022,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.12360291382528714,0.06975752093579475,0.014239194334517672,0.09414689609895135,0.15305893155162292,0.029456017726335784,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.11508991476990164,0.08427750387210825,0.017203073440174896,0.07950264597528604,0.15067718356451726,0.0355872687946156,student_t,24,,,1.14,1.0,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.163300111095981,0.08565443840872974,0.017484139025503085,0.12713141383924936,0.19946880835271263,0.03616869725673164,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.15782934730342324,0.08244796340436615,0.016829620056029813,0.1230146256940561,0.19264406891279037,0.034814721609367126,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.16256612201286794,0.08438929346721878,0.017225892395722656,0.12693164861219663,0.19820059541353924,0.03563447340067129,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.15637019572723518,0.06090953532042755,0.012433106833756417,0.1306503546544319,0.18209003680003846,0.025719841072803295,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.14171176498886132,0.07386582543828692,0.01507779847944138,0.11052096241600015,0.17290256756172248,0.031190802572861172,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.13282306131055738,0.09011167958282543,0.018393969570257938,0.0947722361732269,0.17087388644788787,0.03805082513733048,student_t,24,,,1.14,1.09,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.17908605548165132,0.08442404960381943,0.017232986962397827,0.14343690585163482,0.21473520511166783,0.03564914963001651,student_t,24,,,1.14,1.18,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.17434465305682387,0.08751296208132725,0.017863508581565362,0.1373911700807827,0.21129813603286504,0.03695348297604117,student_t,24,,,1.14,1.18,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.1770456997903276,0.08793446610938808,0.017949547731005093,0.13991423127300395,0.21417716830765127,0.03713146851732365,student_t,24,,,1.14,1.18,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.17207257788781347,0.06601823519905928,0.01347591582972859,0.14419552204927888,0.19994963372634805,0.027877055838534573,student_t,24,,,1.14,1.18,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.15795230774403737,0.07596492785964824,0.01550627596695604,0.12587513195573577,0.19002948353233898,0.032077175788301604,student_t,24,,,1.14,1.18,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.15137503574517974,0.09629903723948204,0.019656958663167214,0.11071151860892624,0.19203855288143323,0.040663517136253505,student_t,24,,,1.14,1.18,,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.05730961740119315,0.02409772397287296,0.0049189273079977185,0.047134040990405586,0.06748519381198072,0.010175576410787564,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_14_30Hz,14.3,0.055420430301379324,0.028843600445700827,0.00588767528639004,0.043240846012512414,0.06760001459024623,0.012179584288866908,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_20_80Hz,20.8,0.06404252929155002,0.04206235081676402,0.008585941406917593,0.046281156257517914,0.08180390232558213,0.01776137303403211,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_27_30Hz,27.3,0.06367583161684433,0.03171869292479643,0.006474551081148185,0.05028220224878026,0.0770694609849084,0.013393629368064071,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_33_80Hz,33.8,0.06314350355348498,0.03273566147196074,0.0066821389165658595,0.04932044602985372,0.07696656107711625,0.013823057523631261,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_7_83Hz,7.83,0.05012912209704253,0.03705337710413713,0.007563488929338414,0.0344828531620464,0.06577539103203867,0.01564626893499613,student_t,24,,,,,0.35,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.07106593726980824,0.030100773165186112,0.006144294593163877,0.05835549549900317,0.0837763790406133,0.012710441770805067,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_14_30Hz,14.3,0.06951355486164407,0.03701165897254863,0.007554973251387238,0.05388490194864951,0.08514220777463863,0.015628652912994555,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_20_80Hz,20.8,0.0838645857014833,0.05485646289087355,0.011197528598046735,0.06070073294924898,0.10702843845371761,0.02316385275223432,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_27_30Hz,27.3,0.08014749643737251,0.04574145412023369,0.009336935223958315,0.06083257432834146,0.09946241854640356,0.019314922109031053,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_33_80Hz,33.8,0.0809245522531385,0.048599687144239144,0.009920369596857107,0.06040270418843029,0.1014464003178467,0.020521848064708203,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_7_83Hz,7.83,0.06461357189095664,0.05056339270399492,0.010321209315729446,0.04326252369124493,0.08596462009066834,0.0213510481997117,student_t,24,,,,,0.5,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.0951155582642217,0.04540846144430761,0.009268963378616409,0.07594124663035141,0.11428986989809199,0.019174311633870292,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_14_30Hz,14.3,0.09877595238277039,0.05056091925967287,0.010320704426021428,0.0774259486269956,0.12012595613854517,0.021350003755774786,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_20_80Hz,20.8,0.10506399552337442,0.06865528079637671,0.01401420050821864,0.07607341298810943,0.1340545780586394,0.02899058253526499,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_27_30Hz,27.3,0.10500165563248781,0.05598348347335488,0.011427580711104529,0.08136190382578351,0.1286414074391921,0.023639751806704308,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_33_80Hz,33.8,0.09487074904683158,0.06392597640360512,0.013048835291502518,0.06787717661396023,0.12186432147970294,0.02699357243287135,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_7_83Hz,7.83,0.07861194794212963,0.06102039995510343,0.012455736982546081,0.05284529283980768,0.10437860304445157,0.02576665510232195,student_t,24,,,,,0.65,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.1384166504483664,0.07655880139626728,0.015627499894994266,0.10608870385876362,0.17074459703796918,0.03232794658960277,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_14_30Hz,14.3,0.13900928646721383,0.08136715731000241,0.01660900143585635,0.1046509492454687,0.17336762368895897,0.034358337221745146,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_20_80Hz,20.8,0.1355902031457873,0.07977937848548568,0.016284897440484513,0.10190232612063532,0.16927808017093926,0.033687877025151976,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_27_30Hz,27.3,0.13434645545021878,0.06787509044724428,0.01385494482008378,0.10568531840621649,0.16300759249422106,0.028661137044002288,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_33_80Hz,33.8,0.1223920377848315,0.07140763244589064,0.014576021936053367,0.09223923907717971,0.1525448364924833,0.030152798707651793,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_7_83Hz,7.83,0.10691598935866516,0.0811353242551342,0.01656167871169487,0.07265554665040241,0.1411764320669279,0.034260442708262735,student_t,24,,,,,0.8,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.18798846399134952,0.10607745591352453,0.021652970016726097,0.1431958827780736,0.23278104520462545,0.044792581213275916,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_14_30Hz,14.3,0.1570453197987883,0.08704773181554025,0.017768543851225563,0.12028828633488595,0.19380235326269066,0.036757033463902355,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_20_80Hz,20.8,0.17941166786550658,0.08858310756334709,0.018081951113356472,0.14200630208363652,0.21681703364737664,0.03740536578187006,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_27_30Hz,27.3,0.1590009778924972,0.07686266258526647,0.015689525300467883,0.12654472197582212,0.1914572338091723,0.03245625591667509,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_33_80Hz,33.8,0.14135963411609606,0.07982545223865088,0.016294302205966987,0.10765230185125457,0.17506696638093755,0.033707332264841496,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_7_83Hz,7.83,0.14656853330996503,0.10425471785018015,0.021280905167564215,0.10254562687847726,0.1905914397414528,0.04402290643148777,student_t,24,,,,,0.95,,,
coupling_strength_scan,,network_10_00Hz,10.0,0.19031820730821225,0.0985473895516652,0.02011590165707184,0.14870529425486945,0.23193112036155505,0.04161291305334281,student_t,24,,,,,1.1,,,
