mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.20052285125699876,0.3908642744297848,0.0,0.0,0.019241823433248564,network_10_00Hz,10.0,8,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1953442253136655,0.32231252169156244,0.0,0.0,0.00898852388395973,network_10_00Hz,10.0,8,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.3041486027980582,0.5112416697767704,0.0,0.0,0.243967043512376,network_10_00Hz,10.0,8,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1805799064261963,0.33271446952740474,0.0,0.0,0.038145628486516314,network_10_00Hz,10.0,8,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1868261929671008,0.3178094424006428,0.0,0.0,,network_10_00Hz,10.0,8,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.19441143898012136,0.3852630053700965,0.0,0.0,0.008700869535816818,network_10_00Hz,10.0,8,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.22889365209838292,0.4618468767186015,0.0,0.0,0.19330574781396417,network_10_00Hz,10.0,9,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.159173220524784,0.3606893891463707,0.0,0.0,0.009443050184628361,network_10_00Hz,10.0,9,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.17439128671120124,0.449374521758122,0.0,0.0,0.03236071545402235,network_10_00Hz,10.0,9,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1608502911390571,0.418568876692934,0.0,0.0,0.0036438488529338766,network_10_00Hz,10.0,9,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
