analysis,mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators,base_mean_R,base_max_R,base_lock_fraction_R_ge_0_55,base_strong_lock_fraction_R_ge_0_70,delta_mean_R,delta_max_R,delta_lock_fraction_R_ge_0_55,delta_strong_lock_fraction_R_ge_0_70,stimulated_mean_R,coupling_strength_K_cycles_per_s,jitter_level
condition_comparison,0.1859950658906029,0.3357957071482428,0.0,0.0,0.13939338998340248,network_14_30Hz,14.3,16,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16397212049629895,0.33228483668513414,0.0,0.0,0.022022945394303967,0.003510870463108662,0.0,0.0,,,
condition_comparison,0.2459355494965752,0.44978651836081657,0.0,0.0,0.22273382860663973,network_14_30Hz,14.3,17,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14742369856371076,0.3181878089615009,0.0,0.0,0.09851185093286444,0.13159870939931567,0.0,0.0,,,
condition_comparison,0.3612973512698753,0.517401336344829,0.0,0.0,0.35371792212828473,network_14_30Hz,14.3,18,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16907550899071594,0.4517133431619586,0.0,0.0,0.19222184227915934,0.06568799318287039,0.0,0.0,,,
condition_comparison,0.21740911110751074,0.4744270960842367,0.0,0.0,0.18941034221149286,network_14_30Hz,14.3,19,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1797140771113786,0.35188012903587595,0.0,0.0,0.03769503399613214,0.12254696704836077,0.0,0.0,,,
condition_comparison,0.41977323303534014,0.5561863880937118,0.0085,0.0,0.41150425659258266,network_14_30Hz,14.3,20,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16898416889911477,0.3679435898091018,0.0,0.0,0.25078906413622537,0.18824279828461,0.0085,0.0,,,
condition_comparison,0.2287724009337813,0.4106566194808103,0.0,0.0,0.20455914854526497,network_14_30Hz,14.3,21,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15634362302886376,0.29395282299367115,0.0,0.0,0.07242877790491753,0.11670379648713913,0.0,0.0,,,
condition_comparison,0.27539418409738897,0.5305404862956852,0.0,0.0,0.26793388381940897,network_14_30Hz,14.3,22,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14092450523405278,0.3304983975403088,0.0,0.0,0.1344696788633362,0.20004208875537638,0.0,0.0,,,
condition_comparison,0.2103926597644059,0.4138903174808909,0.0,0.0,0.19346248289962686,network_14_30Hz,14.3,23,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14614616498686564,0.342569672614858,0.0,0.0,0.06424649477754027,0.0713206448660329,0.0,0.0,,,
condition_comparison,0.17512307304173264,0.3384136655047884,0.0,0.0,0.14936962118883493,network_20_80Hz,20.8,0,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1462499138830377,0.3294640956182824,0.0,0.0,0.028873159158694928,0.008949569886506026,0.0,0.0,,,
condition_comparison,0.3647467350043744,0.5661644969974754,0.02,0.0,0.35826353291814544,network_20_80Hz,20.8,1,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14927690771812632,0.36272680846813393,0.0,0.0,0.21546982728624806,0.20343768852934146,0.02,0.0,,,
